n_alumno,nombre,salon,pp_matematica,b1_matematica,b2_matematica,b3_matematica,b4_matematica,tendencia_matematica,pp_comunicacion,b1_comunicacion,b2_comunicacion,b3_comunicacion,b4_comunicacion,tendencia_comunicacion,pp_cta,b1_cta,b2_cta,b3_cta,b4_cta,tendencia_cta,pp_lenguaje,b1_lenguaje,b2_lenguaje,b3_lenguaje,b4_lenguaje,tendencia_lenguaje,pp_mat_prim,tendencia_mat_prim,sheet,conducta_promedio,n_materias_c,promedio_materias,riesgo,riesgo_score,codigo_ie,nivel_riesgo,nombre_colegio
17,Alumno 17,P6A,13.0,13.0,13.0,13.0,13.0,0.0,13.0,16.0,16.0,16.0,16.0,-3.0,,,,,,,,,,,,,,,P6A,16.0,2,13.0,1,0.6471,0249,MEDIO,Joseph And Mery
23,Alumno 23,P6A,13.0,16.0,16.0,16.0,16.0,-3.0,13.0,16.0,16.0,16.0,16.0,-3.0,,,,,,,,,,,,,,,P6A,15.25,2,13.0,1,0.6471,0249,MEDIO,Joseph And Mery
15,Alumno 15,P6A,13.0,13.0,13.0,13.0,13.0,0.0,13.0,16.0,13.0,16.0,16.0,-3.0,,,,,,,,,,,,,,,P6A,15.25,2,13.0,1,0.6471,0249,MEDIO,Joseph And Mery
12,Alumno 12,P6B,,,,,,,,,,,,,,,,,,,,,,,,,,,P6B,16.0,0,,0,0.5,0249,MEDIO,Joseph And Mery
27,Alumno 27,P6B,,,,,,,,,,,,,,,,,,,,,,,,,,,P6B,16.0,0,,0,0.5,0249,MEDIO,Joseph And Mery
17,Alumno 17,P6B,,,,,,,,,,,,,,,,,,,,,,,,,,,P6B,15.0,0,,0,0.5,0249,MEDIO,Joseph And Mery
7,Alumno 7,P6B,,,,,,,,,,,,,,,,,,,,,,,,,,,P6B,16.0,0,,0,0.5,0249,MEDIO,Joseph And Mery
22,Alumno 22,P6B,,,,,,,,,,,,,,,,,,,,,,,,,,,P6B,16.0,0,,0,0.5,0249,MEDIO,Joseph And Mery
2,Alumno 2,P6B,,,,,,,,,,,,,,,,,,,,,,,,,,,P6B,16.0,0,,0,0.5,0249,MEDIO,Joseph And Mery
8,Alumno 8,P6A,13.0,13.0,13.0,13.0,13.0,0.0,16.0,13.0,13.0,13.0,16.0,3.0,,,,,,,,,,,,,,,P6A,16.0,1,14.5,1,0.4706,0249,MEDIO,Joseph And Mery
21,Alumno 21,P6A,13.0,16.0,16.0,16.0,16.0,-3.0,16.0,16.0,16.0,16.0,16.0,0.0,,,,,,,,,,,,,,,P6A,16.0,1,14.5,1,0.4706,0249,MEDIO,Joseph And Mery
2,Alumno 2,P6A,13.0,13.0,13.0,13.0,13.0,0.0,16.0,16.0,16.0,16.0,16.0,0.0,,,,,,,,,,,,,,,P6A,16.0,1,14.5,1,0.4706,0249,MEDIO,Joseph And Mery
16,Alumno 16,P6A,13.0,16.0,16.0,16.0,16.0,-3.0,16.0,16.0,16.0,16.0,16.0,0.0,,,,,,,,,,,,,,,P6A,16.0,1,14.5,1,0.4706,0249,MEDIO,Joseph And Mery
3,Alumno 3,P6A,13.0,13.0,13.0,13.0,13.0,0.0,16.0,16.0,16.0,16.0,16.0,0.0,,,,,,,,,,,,,,,P6A,14.5,1,14.5,1,0.4706,0249,MEDIO,Joseph And Mery
7,Alumno 7,P6A,13.0,13.0,13.0,13.0,13.0,0.0,16.0,16.0,16.0,16.0,16.0,0.0,,,,,,,,,,,,,,,P6A,16.0,1,14.5,1,0.4706,0249,MEDIO,Joseph And Mery
14,Alumno 14,P6A,13.0,13.0,13.0,13.0,13.0,0.0,16.0,16.0,16.0,16.0,16.0,0.0,,,,,,,,,,,,,,,P6A,16.0,1,14.5,1,0.4706,0249,MEDIO,Joseph And Mery
27,Alumno 27,P6A,13.0,16.0,16.0,16.0,16.0,-3.0,16.0,16.0,16.0,16.0,16.0,0.0,,,,,,,,,,,,,,,P6A,16.0,1,14.5,1,0.4706,0249,MEDIO,Joseph And Mery
12,Alumno 12,P6A,13.0,13.0,13.0,13.0,13.0,0.0,16.0,16.0,16.0,16.0,16.0,0.0,,,,,,,,,,,,,,,P6A,16.0,1,14.5,1,0.4706,0249,MEDIO,Joseph And Mery
30,Alumno 30,P6A,13.0,13.0,13.0,13.0,13.0,0.0,16.0,16.0,16.0,16.0,16.0,0.0,,,,,,,,,,,,,,,P6A,16.0,1,14.5,1,0.4706,0249,MEDIO,Joseph And Mery
29,Alumno 29,P6A,13.0,13.0,13.0,13.0,13.0,0.0,16.0,16.0,16.0,16.0,16.0,0.0,,,,,,,,,,,,,,,P6A,16.0,1,14.5,1,0.4706,0249,MEDIO,Joseph And Mery
25,Alumno 25,P6A,13.0,13.0,13.0,13.0,13.0,0.0,16.0,16.0,16.0,16.0,16.0,0.0,,,,,,,,,,,,,,,P6A,16.0,1,14.5,1,0.4706,0249,MEDIO,Joseph And Mery
